userID,userName,userFollows,userFans,userVideos
13407784,大宽物理,317,528254,222
9030440,修一j,310,473540,118
137429365,火山哥哥,367,694247,20
335692980,百万剪辑狮,175,1051309,90
627888730,星有野,93,3025391,56
5970160,小潮院长,99,7653209,267
14804670,无穷小亮的科普日常,87,7570794,225
99157282,盗月社食遇记,609,6839290,484
11688464,天才小熊猫本人,11,2115838,9
177291194,DECO27_Official,3,473190,34
37439823,Crazy-face,29,301676,106
401742377,原神,56,11553346,198
6336952,老李船长,156,384763,439
1955897084,鸣潮游戏,5,532274,2
697166795,徐云流浪中国,15,775830,158
96754219,翎人祭酒,29,134493,22
3030287,雷厲風行_shin,47,81385,14
23371320,异次元臭豆腐,106,221999,124
157272038,喵哉小茶馆,263,124189,52
441449841,莱茵实验组,160,297337,800
63231,泛式,463,4652591,234
456664753,央视新闻,19,9324252,4584
1481344732,我们都是社畜,80,320407,72
730732,瓶子君152,168,3402371,212
447317111,Meetfood觅食,60,1621678,198
1532165,papi酱,45,7112516,249
680447,马里奥红叔,88,1243076,1740
691415738,苏打baka,133,1201815,405
337521240,记录生活的蛋黄派,135,7183448,593
233114659,碧蓝航线,8,2016715,56
176037767,我是郭杰瑞,31,7096809,468
473837611,新华社,62,6198630,2984
406636263,HOLA小测佬,79,1099902,124
1724598,森纳映画,60,1849072,292
5260378,白勺啊达,183,667984,179
48421904,贾逸可,19,316009,125
836885,清和Alicia,40,892853,29
397857697,黄方块和粉星星a,33,177164,110
429765143,快乐阿依,137,230680,205
627888730,星有野,93,3025393,56
6016626,呆阿拿,62,658269,1049
150522015,东东翔,259,780150,54
39422678,夜雨星繁y,267,223196,145
2068622664,猪坚强jqsg999,11,488212,40
9824766,敬汉卿,92,9282385,1181
25807917,阿福Thomas,57,1746247,416
17134369,司墨尧smile,200,1380027,290
24759869,koko396,43,4209,23
456664753,央视新闻,19,9324260,4584
1636530654,Faye-詹雯婷,4,78136,4
19319172,差评君,88,1638667,128
444935584,梦幻西游电脑版,8,154684,735
3670216,TF家族,3,4749133,1243
401742377,原神,56,11553350,198
7788379,兔叭咯,343,6311032,290
1955897084,鸣潮游戏,5,532277,2
53752473,hello周晓楠,74,171676,54
122757660,金喆tt,743,34099,66
25503580,布锅锅,267,1346830,1211
390212232,梁工的忧郁,26,62145,6
7518140,暂离二度,305,109120,95
473524263,澳洲阿彭,201,2156568,113
14804670,无穷小亮的科普日常,87,7570795,225
6336952,老李船长,156,384764,439
457057852,会做漆艺的小李子,142,24706,3
88895225,张镇辉台球教学,178,935725,244
1966161706,Tank吕建忠,1,120182,3
