videoBVID,videoName,videoOwnerID,videoViews,videoDanmaku,videoLength,videoLikes,videoCoins,videoFavorites,videoComments,videoShares,videoRecommendReason,videoTag,videoReleaseTimeStamp,videoBoardID,videoBoardRank
BV1yA4y1d72F,【它更强了！也更憨了。。。】,13407784,6573886,11808,246607,510210,134894,38473,4720,59477,可达鸭进化！涡轮增“鸭”！,科学科普,1653978319,167,1
BV1rA4y1Z7rA,耗时60天，用真实蛇骨标本打造一把附魔蛇骨刀,9030440,4979919,8927,484473,552188,319744,106596,5494,24808,这就是传说中的“魔蛇古剑”吗？惊艳！,野生技能协会,1653795006,167,2
BV1J34y177mD,我把刘畊宏做成了游戏！本草纲目+音游有没有搞头？,137429365,2725012,6425,314963,262382,166468,64255,3115,4615,万 物 皆 可 游 戏,单机游戏,1653797742,167,3
BV15W4y1C7BB,一支来自10年前的年度混剪,335692980,2300116,9693,302137,250113,157144,91298,4901,28049,DNA动了，全是回忆！,影视剪辑,1654077660,167,4
BV1d34y1j71C,【好 嘛   我 就 是 你 的 修 勾 ！】,627888730,2898108,5788,198861,457996,75429,64724,3402,29004,“只有狮子受伤的世界完成了”（doge,短片·手书·配音,1653736531,167,5
BV1qS4y1q7Ld,贱谍过家家,5970160,5573811,34988,533519,456224,171881,80692,8584,18963,《全体黑衣服不告诉小潮系列》（doge,搞笑,1653748304,167,6
BV1Vv4y137TX,【亮记生物鉴定】网络热传生物鉴定40,14804670,3756755,26485,524453,463549,52308,26530,6170,6816,进来长知识了~,科学科普,1654163702,167,7
BV1z54y1o73m,剪个“黄金爆炸头”去吃夜宵，社恐瞬间变社牛…【鸠占鹊巢6】,99157282,2114143,25197,736483,244046,155738,28556,4398,6610,coffee组合，喜得新名：fe程勿扰（狗头,美食侦探,1653814485,167,8
BV1nU4y1y7Ar,千万不要随便相信一条狗......,11688464,2571264,6312,300707,290042,95657,27073,3859,18451,“一本正经的胡说八道”,搞笑,1653812817,167,9
BV1u54y1f7mY,DECO*27 - 愛言葉Ⅳ feat. 初音未来,177291194,1309949,7860,219176,179578,169537,115759,13565,42974,“每一首爱言叶伴随着的，都是我难以忘怀的宝贵的过去”,VOCALOID·UTAU,1653645610,167,10
BV1vg411R7gS,笑死...DNA都裂开了！哪个鬼才教你这么剪视频的？,37439823,2172909,1501,154884,155757,61609,33900,1086,3319,“剪得很好，下次继续”（doge,影视剪辑,1654053111,167,11
BV1mW4y1C7eD,《原神》剧情PV-「惟余旧忆」,401742377,4139169,12491,242831,414719,278763,142909,33177,56233,神仙剧情！,手机游戏,1654146539,167,12
BV1EY4y1L7Qk,"现场见证 ""勇士西部冠军"" 全场高呼库里MVP！晋级总决赛！",6336952,1522458,24666,1654940,220874,248809,43854,3886,7922,总决赛已经打响了！,篮球,1653732934,167,13
BV1NB4y1X7Qo,《鸣潮》概念CG  |  昼前,1955897084,4898690,7395,140749,208815,92683,54279,35819,69286,"“湮灭后，人类迎来崭新的纪元。""",手机游戏,1653620597,167,14
BV11Z4y1b74X,骑行新藏线去新疆，班公湖观景台露营，热情网友大老远开车送来物资,697166795,816055,24338,1308836,82150,79995,6796,5129,2747,后勤组上线（doge,出行,1653920579,167,15
BV1yT4y1q7yd,《高考作文名人名言》用Rap来积累作文素材是怎样的体验,96754219,1049202,466,107492,279361,24948,155529,661,8976,这惊人的收藏量！ ,原创音乐,1653643061,167,16
